Student ID,Gender,Age,Parent Education Level,Hours Studied Per Week,Sleep Hours Per Night,Extracurricular Activities,Math Score,Science Score,English Score,Overall GPA,Absence Rate,Technology Access,Study Group Participation
1001,Female,15,High School,4.6,6.9,6.0,53,74,83,2.8,0.2,Yes,Yes
1002,Male,18,Some College,14.5,7.8,4.6,100,100,94,3.9,2.0,Yes,Yes
1003,Male,16,Bachelor's,8.9,7.6,7.4,94,100,91,3.8,0.6,Yes,Yes
1004,Female,18,Some College,11.3,6.9,6.4,100,79,60,3.2,8.7,Yes,Yes
1005,Female,16,Graduate,13.6,5.9,5.4,79,100,100,3.7,1.5,Yes,No
1006,Female,15,Some College,8.9,7.0,7.6,74,71,81,3.0,1.8,No,No
1007,Male,16,High School,7.9,6.4,6.9,62,79,77,2.9,8.4,Yes,Yes
1008,Male,16,Some College,13.6,5.8,8.5,67,76,76,2.9,4.5,No,No
1009,Female,18,Bachelor's,6.7,6.8,8.7,32,82,80,2.6,4.9,No,Yes
1010,Female,15,High School,11.5,5.9,5.0,86,50,71,2.8,6.0,Yes,No
1011,Male,16,Graduate,8.0,6.7,8.7,72,87,93,3.4,1.8,Yes,Yes
1012,Female,17,High School,,8.3,8.8,75,96,96,3.6,1.5,Yes,No
1013,Female,18,Graduate,8.0,6.6,7.8,59,96,97,3.4,2.5,Yes,Yes
1014,Male,16,Graduate,13.3,8.0,9.2,71,95,96,3.5,3.1,Yes,No
1015,Male,18,Some College,14.4,6.7,4.7,100,77,86,3.5,2.4,Yes,No
1016,Female,18,Bachelor's,,6.4,7.5,86,78,92,3.4,1.0,Yes,Yes
1017,Female,17,Bachelor's,,6.2,2.2,92,95,71,3.4,0.2,Yes,Yes 
1018,Male,15,Graduate,10.1,8.1,15.8,100,93,100,3.9,3.8,Yes,No
1019,Female,16,Bachelor's,8.7,6.4,3.6,99,62,82,3.2,1.8,No,Yes
1020,Female,18,Bachelor's,6.9,8.3,6.6,73,78,69,2.9,3.2,Yes,Yes
1021,Female,15,Some College,10.3,5.8,5.2,60,65,91,2.9,4.4,Yes,No
1022,Female,17,Bachelor's,4.2,5.4,1.6,78,55,90,3.0,6.4,Yes,No
1023,Female,17,High School,8.6,7.0,7.9,100,68,87,3.4,9.2,Yes,Yes
1024,Female,16,Graduate,12.6,,8.2,53,56,99,2.8,0.3,Yes,No
1025,Female,17,Bachelor's,11.5,6.1,3.6,88,80,75,3.2,2.3,Yes,Yes
1026,Male,16,Bachelor's,7.9,7.1,4.0,84,86,96,3.5,3.7,Yes,Yes
1027,Female,16,Bachelor's,9.4,7.2,8.6,66,78,68,2.8,5.2,No,Yes
1028,Male,17,High School,10.7,8.2,10.0,76,100,68,3.3,7.5,Yes,Yes
1029,Female,17,Graduate,10.0,5.6,4.6,100,100,100,4.0,1.7,Yes,Yes
1030,Male,16,Some College,16.2,7.5,9.6,87,82,93,3.5,1.7,Yes,No
1031,Female,16,Some College,13.9,7.2,6.6,100,85,85,3.6,10.2,Yes,Yes
1032,Male,18,Some College,4.5,8.5,4.4,71,70,76,2.9,3.6,Yes,No
1033,Female,16,Bachelor's,15.6,8.6,6.0,95,90,90,3.7,3.2,Yes,Yes
1034,Female,16,Bachelor's,15.2,8.0,10.7,99,60,100,3.5,6.4,Yes,No
1035,Male,16,High School,10.4,8.7,5.7,87,78,85,3.3,3.4,Yes,Yes
1036,Male,16,High School,10.9,7.4,9.7,76,49,83,2.8,5.5,Yes,No
1037,Female,17,Bachelor's,15.9,6.8,3.0,99,70,100,3.6,2.2,Yes,No
1038,Female,16,High School,,7.1,8.1,65,93,70,3.0,9.7,Yes,Yes
1039,Male,18,Some College,10.0,5.9,4.4,66,60,45,2.3,0.6,Yes,No
1040,Female,15,Bachelor's,20.3,6.8,9.3,100,98,100,4.0,1.3,Yes,No
1041,Male,16,Graduate,9.0,6.3,1.1,98,81,88,3.6,3.8,Yes,Yes
1042,Female,18,High School,10.2,5.6,7.9,54,66,86,2.7,2.6,Yes,Yes
1043,Female,15,Bachelor's,15.2,7.5,3.9,88,71,98,3.4,1.5,Yes,No
1044,Male,15,Bachelor's,13.6,7.2,3.7,92,88,95,3.7,1.2,Yes,No
1045,Female,17,Bachelor's,,6.5,4.5,85,57,75,2.9,2.7,Yes,No
1046,Female,15,High School,5.4,5.8,5.6,82,71,80,3.1,3.1,Yes,Yes
1047,Male,15,High School,11.5,7.7,10.4,83,72,64,2.9,8.9,Yes,No
1048,Male,17,High School,11.0,6.5,2.5,59,92,100,3.3,1.4,Yes,No
1049,Female,15,Bachelor's,9.9,5.8,7.9,100,82,79,3.5,4.1,Yes,Yes
1050,Female,15,Graduate,14.7,6.9,9.7,100,86,83,3.6,4.0,Yes,Yes
1051,Male,16,High School,9.1,6.3,6.8,54,99,89,3.2,4.9,Yes,No
1052,Female,16,Some College,13.3,8.7,8.0,92,78,80,3.3,2.0,Yes,No
1053,Male,17,Bachelor's,6.4,6.7,13.3,66,72,69,2.8,2.4,Yes,Yes
1054,Male,17,Some College,12.7,8.5,4.7,96,68,100,3.5,1.1,No,Yes
1055,Female,16,Graduate,6.8,6.1,6.0,100,100,90,3.9,2.4,Yes,Yes
1056,Female,16,High School,7.1,7.3,3.2,73,67,75,2.9,0.4,Yes,Yes
1057,Male,17,High School,8.7,7.1,6.5,75,61,87,3.0,7.2,Yes,Yes
1058,Female,15,Bachelor's,9.4,7.9,13.3,79,84,68,3.1,1.3,No,No
1059,Female,16,Graduate,10.0,7.2,0.5,100,81,91,3.6,5.1,Yes,Yes
1060,Male,18,Some College,4.0,8.6,1.3,64,72,62,2.6,4.8,Yes,No
1061,Male,15,Bachelor's,10.0,6.4,10.2,75,84,100,3.5,2.6,Yes,Yes
1062,Female,18,Bachelor's,13.1,6.4,2.6,89,70,91,3.3,3.6,Yes,No
1063,Female,17,High School,14.2,6.3,7.6,94,87,74,3.4,4.3,Yes,No
1064,Male,17,Bachelor's,13.4,7.4,4.8,86,82,94,3.5,3.5,Yes,No
1065,Male,17,Bachelor's,7.0,6.4,4.6,68,79,89,3.1,2.6,Yes,No
1066,Female,16,Some College,14.6,6.2,5.8,96,93,75,3.5,7.1,Yes,Yes
1067,Female,15,Some College,5.6,7.4,3.3,86,76,69,3.1,3.6,Yes,Yes
1068,Female,15,Graduate,11.8,8.2,0.4,74,100,72,3.3,8.4,Yes,No
1069,Female,15,Bachelor's,13.9,7.3,4.9,98,78,95,3.6,2.5,No,Yes
1070,Male,17,Bachelor's,12.4,6.3,4.5,55,72,79,2.7,6.1,No,No
1071,Female,17,High School,6.2,6.9,2.7,46,71,80,2.6,5.5,Yes,No
1072,Male,17,High School,13.7,7.0,3.4,84,90,88,3.5,16.3,Yes,Yes
1073,Female,18,Graduate,10.4,7.1,9.4,74,66,80,2.9,7.2,Yes,No
1074,Male,18,Graduate,13.5,7.4,4.8,88,77,98,3.5,1.3,Yes,Yes
1075,Female,17,Some College,7.3,6.3,6.9,80,79,68,3.0,7.7,Yes,Yes
1076,Female,15,Some College,5.0,7.1,6.1,58,54,86,2.6,4.1,Yes,Yes
1077,Female,17,Some College,16.4,5.8,1.9,100,63,100,3.5,6.2,Yes,No
1078,Male,15,Some College,10.5,5.9,6.9,73,87,92,3.4,7.9,Yes,Yes
1079,Male,15,Some College,11.1,6.8,6.0,100,73,89,3.5,2.5,Yes,Yes
1080,Male,15,Graduate,11.1,8.4,5.5,70,77,72,2.9,9.1,Yes,No
1081,Female,15,High School,5.7,7.5,8.3,74,83,67,3.0,19.0,Yes,No
1082,Male,16,Bachelor's,11.2,7.1,6.1,79,98,83,3.5,1.9,Yes,No
1083,Female,16,High School,8.6,7.0,0,73,80,85,3.2,5.6,Yes,No
1084,Female,17,Bachelor's,7.1,7.0,8.2,81,100,67,3.3,3.1,Yes,Yes
1085,Female,16,Bachelor's,15.2,7.5,6.3,92,100,91,3.8,1.9,No,Yes
1086,Male,15,Graduate,,8.1,7.8,99,62,74,3.1,1.4,Yes,Yes
1087,Female,15,Some College,12.6,8.3,2.7,79,86,99,3.5,1.5,Yes,No
1088,Male,15,High School,8.5,6.2,6.5,56,49,72,2.4,2.4,Yes,No
1089,Female,18,Some College,7.3,6.3,5.4,76,66,85,3.0,1.8,Yes,No
1090,Male,17,Bachelor's,8.7,6.1,3.8,67,82,75,3.0,1.2,Yes,Yes
1091,Female,17,Graduate,9.3,5.8,8.6,90,70,100,3.5,0.9,Yes,Yes
1092,Female,18,Bachelor's,11.1,8.5,7.3,94,78,100,3.6,0.3,Yes,Yes
1093,Female,17,Some College,7.5,,2.5,65,58,76,2.7,6.5,Yes,No
1094,Male,17,Bachelor's,11.1,6.5,13.4,75,64,84,3.0,5.2,Yes,Yes
1095,Female,16,Bachelor's,7.6,7.1,7.4,57,95,86,3.2,5.2,Yes,Yes
1096,Male,15,Bachelor's,10.1,6.8,8.8,83,73,67,3.0,9.4,Yes,Yes
1097,Female,16,Bachelor's,,7.6,6.2,79,95,71,3.3,0.7,Yes,No
1098,Male,17,Bachelor's,9.6,7.6,6.7,100,76,77,3.4,0.8,Yes,Yes
1099,Male,17,High School,5.5,8.4,6.5,66,95,56,2.9,2.3,Yes,No
1100,Male,15,Bachelor's,14.5,7.4,6.2,85,53,82,2.9,4.7,Yes,No
1101,Male,15,Bachelor's,9.8,7.4,2.6,69,89,79,3.2,6.5,Yes,No
1102,Male,16,High School,,8.8,5.5,64,86,48,2.6,1.4,Yes,Yes
1103,Female,15,Some College,8.9,6.0,6.7,94,63,61,2.9,5.1,Yes,No
1104,Female,17,Some College,10.2,6.6,10.6,60,83,100,3.2,2.9,Yes,No
1105,Female,15,High School,10.1,6.5,6.5,69,75,94,3.2,3.1,Yes,No
1106,Male,17,Bachelor's,6.2,7.3,7.4,95,78,85,3.4,1.3,Yes,No
1107,Female,15,Bachelor's,8.7,7.1,4.6,83,71,88,3.2,2.0,Yes,No
1108,Male,16,Some College,14.1,7.7,4.5,79,77,93,3.3,9.0,No,Yes
1109,Male,16,Bachelor's,,5.8,7.2,84,85,80,3.3,2.8,No,No
1110,Male,17,Bachelor's,11.3,6.1,10.3,94,86,76,3.4,8.9,Yes,Yes
1111,Male,15,High School,13.5,5.9,11.2,67,70,59,2.6,9.8,Yes,No
1112,Male,15,High School,8.5,5.6,7.7,75,70,85,3.1,2.2,Yes,Yes
1113,Female,16,High School,9.1,5.7,5.4,86,70,71,3.0,3.3,Yes,Yes
1114,Male,15,Graduate,10.4,7.8,5.1,82,69,89,3.2,9.5,Yes,No
1115,Male,17,Bachelor's,5.4,5.6,11.3,82,78,78,3.2,2.0,Yes,Yes
1116,Female,16,High School,,8.8,9.8,96,61,71,3.0,1.6,Yes,No
1117,Female,16,Some College,7.6,9.2,2.7,89,93,93,3.7,2.2,Yes,Yes
1118,Male,15,Some College,13.9,7.1,11.4,91,76,72,3.2,7.1,No,Yes
1119,Female,17,Some College,8.1,8.4,4.5,55,90,75,2.9,2.4,Yes,Yes
1120,Male,15,High School,8.4,7.3,4.8,65,65,78,2.8,2.8,No,Yes
1121,Female,17,Bachelor's,9.1,6.6,8.2,91,61,95,3.3,15.3,Yes,Yes
1122,Male,16,High School,8.3,7.4,5.5,88,79,68,3.1,2.8,Yes,Yes
1123,Female,15,High School,5.3,6.6,4.6,67,58,63,2.5,5.7,Yes,No
1124,Female,17,Graduate,13.4,6.3,3.6,62,93,87,3.2,1.7,Yes,Yes
1125,Male,18,Bachelor's,11.4,5.6,11.2,91,81,100,3.6,0.3,Yes,No
1126,Male,16,Bachelor's,11.3,6.7,11.2,84,86,96,3.5,5.7,Yes,Yes
1127,Male,18,Bachelor's,12.5,8.0,7.5,100,71,84,3.4,6.7,Yes,No
1128,Male,16,Bachelor's,10.2,7.8,3.4,100,56,81,3.2,2.8,Yes,No
1129,Male,16,High School,13.4,9.6,10.0,97,75,93,3.5,1.8,Yes,No
1130,Male,16,Bachelor's,12.8,,1.1,91,64,95,3.3,0.6,Yes,Yes
1131,Male,17,High School,12.4,7.5,4.5,76,95,51,3.0,1.7,No,Yes
1132,Male,17,High School,12.9,,8.6,87,88,91,3.5,3.0,Yes,Yes
1133,Female,17,Some College,12.5,7.2,3.5,74,83,93,3.3,0.6,Yes,No
1134,Male,15,Bachelor's,11.0,7.1,4.4,83,57,72,2.8,1.1,Yes,No
1135,Female,15,Some College,9.2,6.1,4.1,100,66,89,3.4,6.2,Yes,Yes
1136,Male,17,Bachelor's,9.5,5.9,9.3,93,86,59,3.2,2.1,Yes,Yes
1137,Female,17,Graduate,5.7,5.7,3.5,96,95,64,3.4,5.8,Yes,Yes
1138,Male,15,Bachelor's,10.9,5.5,5.3,67,82,81,3.1,7.8,Yes,No
1139,Female,16,Some College,11.1,4.8,0.8,75,100,69,3.3,4.9,Yes,No
1140,Female,15,Some College,10.2,8.1,8.6,84,59,97,3.2,4.0,No,No
1141,Female,16,Graduate,14.4,6.5,2.5,100,69,86,3.4,6.1,Yes,No
1142,Female,17,Some College,6.9,7.4,14.0,39,89,82,2.8,2.4,Yes,No
1143,Male,17,High School,11.8,7.9,13.3,65,96,75,3.1,0.3,Yes,No
1144,Female,17,Graduate,13.0,7.2,9.4,68,83,92,3.2,3.4,Yes,Yes
1145,Male,16,Bachelor's,7.9,7.6,6.6,94,73,63,3.1,3.3,Yes,Yes
1146,Male,16,Some College,4.1,7.5,7.5,91,71,57,2.9,3.5,No,Yes
1147,Female,18,High School,,6.9,10.0,61,71,83,2.9,2.0,Yes,No
1148,Male,15,Bachelor's,10.5,8.1,4.9,100,79,85,3.5,1.4,Yes,Yes
1149,Female,15,Bachelor's,11.9,7.2,9.6,64,97,82,3.2,4.1,Yes,No
1150,Male,15,Bachelor's,9.6,7.8,0.4,59,98,81,3.2,2.5,Yes,Yes
1151,Male,16,High School,8.3,6.3,5.7,68,57,61,2.5,2.2,Yes,Yes
1152,Male,16,High School,10.7,8.6,8.2,46,84,80,2.8,3.1,Yes,No
1153,Female,17,High School,10.1,7.0,5.9,71,67,77,2.9,6.6,Yes,No
1154,Male,16,High School,11.2,8.2,10.3,50,76,86,2.8,1.4,Yes,No
1155,Male,15,Some College,11.3,8.9,5.9,86,85,84,3.4,2.2,No,Yes
1156,Female,15,Bachelor's,11.2,7.8,8.5,98,91,93,3.8,3.6,Yes,Yes
1157,Male,16,Graduate,10.0,5.7,6.0,89,100,94,3.8,2.9,Yes,Yes
1158,Female,17,Some College,11.8,7.4,5.8,97,97,60,3.4,8.6,Yes,Yes
1159,Female,17,Some College,9.2,6.8,9.8,69,76,84,3.1,2.5,Yes,No
1160,Female,17,Bachelor's,9.1,6.2,6.9,91,100,71,3.5,3.0,Yes,Yes
1161,Female,17,Graduate,14.6,5.5,7.1,84,84,99,3.6,1.1,Yes,No
1162,Male,18,High School,10.7,7.2,7.3,100,94,77,3.6,0.9,No,No
1163,Male,16,Graduate,10.1,6.5,10.2,54,88,80,3.0,2.1,Yes,Yes
1164,Female,17,Bachelor's,12.5,5.5,3.3,76,100,75,3.3,0.8,Yes,Yes
1165,Female,16,Bachelor's,11.9,7.2,3.3,72,87,83,3.2,6.5,No,Yes
1166,Male,15,Some College,8.4,6.2,2.7,79,85,83,3.3,3.2,Yes,No
1167,Male,17,Some College,8.7,,7.1,72,80,94,3.3,2.4,Yes,Yes
1168,Female,16,Bachelor's,12.4,6.2,4.5,85,68,76,3.1,7.1,No,No
1169,Male,15,High School,10.3,7.5,0.9,94,70,82,3.3,5.9,Yes,Yes
1170,Female,16,High School,1,5.6,7.6,70,59,70,2.7,3.5,Yes,Yes
1171,Male,17,Bachelor's,,7.0,4.6,64,77,79,2.9,7.3,Yes,Yes
1172,Male,16,Bachelor's,11.3,7.9,3.7,93,67,67,3.0,1.7,Yes,No
1173,Female,16,High School,9.9,6.7,1.8,48,69,56,2.3,8.1,No,Yes
1174,Female,16,Some College,10.7,7.0,8.4,60,80,80,2.9,0.7,Yes,Yes
1175,Male,15,High School,4.5,8.7,12.1,87,47,68,2.7,3.5,Yes,Yes
1176,Male,16,Bachelor's,3.1,7.1,4.6,82,52,81,2.9,3.1,Yes,Yes
1177,Female,16,Bachelor's,5.8,7.7,3.0,57,100,81,3.2,2.2,Yes,Yes
1178,Female,16,Some College,14.8,6.2,2.8,85,83,90,3.4,7.5,Yes,No
1179,Male,16,Bachelor's,12.4,6.7,4.9,100,69,82,3.3,5.2,Yes,No
1180,Female,16,Graduate,9.6,6.5,11.3,71,100,84,3.4,2.9,Yes,No
1181,Male,16,Graduate,14.4,7.8,6.7,100,95,100,3.9,11.9,Yes,No
1182,Female,15,Bachelor's,,7.1,8.0,84,85,78,3.3,1.3,Yes,Yes
1183,Male,15,Some College,11.6,7.2,1.9,88,75,74,3.2,0.5,No,No
1184,Female,16,High School,7.5,7.7,2.4,80,78,76,3.1,1.4,Yes,Yes
1185,Female,15,High School,4.7,5.6,11.3,98,61,42,2.7,4.3,Yes,Yes
1186,Female,15,High School,10.2,6.1,6.8,100,100,83,3.8,1.5,Yes,Yes
1187,Male,18,Bachelor's,10.8,8.0,4.2,90,96,92,3.7,1.4,No,Yes
1188,Female,18,Some College,15.7,4.4,5.2,69,64,79,2.8,7.8,Yes,Yes
1189,Male,16,Bachelor's,7.7,7.0,1.6,73,62,77,2.8,17.4,No,Yes
1190,Male,16,High School,9.5,6.7,9.1,87,94,74,3.4,0.7,Yes,Yes
1191,Female,17,Some College,10.7,6.7,5.7,86,81,93,3.5,8.3,Yes,Yes
1192,Male,16,High School,11.6,6.9,7.3,65,74,70,2.8,4.1,Yes,Yes
1193,Female,18,Some College,11.0,5.1,1.8,83,66,76,3.0,0.2,Yes,Yes
1194,Male,16,High School,10.7,7.5,6.8,100,91,77,3.6,6.1,Yes,Yes
1195,Female,15,Some College,15.9,6.5,2.1,95,62,81,3.2,4.2,Yes,Yes
1196,Female,17,Graduate,9.7,7.3,9.9,63,84,83,3.1,5.2,No,Yes
1197,Male,17,High School,14.4,,3.9,98,85,73,3.4,5.3,Yes,Yes
1198,Male,17,Graduate,14.3,9.0,2.1,81,99,100,3.7,4.3,Yes,No
1199,Female,16,Graduate,14.1,8.2,7.5,70,89,74,3.1,1.9,Yes,No
1200,Female,18,Some College,5.3,7.8,7.0,89,87,85,3.5,1.0,Yes,Yes
1201,Female,16,Some College,8.9,6.4,3.5,78,71,56,2.7,2.3,Yes,No
1202,Male,16,High School,9.5,5.7,7.2,96,73,96,3.5,6.0,No,No
1203,Male,15,Bachelor's,14.1,8.1,4.2,100,100,100,4.0,8.6,Yes,Yes
1204,Male,16,Some College,10.6,6.1,6.3,76,100,76,3.4,9.4,Yes,Yes
1205,Female,16,High School,10.9,7.2,5.6,86,84,79,3.3,1.1,No,No
1206,Female,15,High School,6.1,7.2,3.8,92,94,90,3.7,1.3,Yes,Yes
1207,Male,17,Bachelor's,4.8,5.5,4.5,72,84,67,3.0,1.5,Yes,Yes
1208,Male,15,Bachelor's,9.9,5.0,4.9,91,68,86,3.3,2.8,Yes,Yes
1209,Female,16,Some College,9.0,7.4,7.1,77,73,95,3.3,2.5,Yes,No
1210,Male,16,Some College,12.1,,8.7,64,87,66,2.9,1.4,No,Yes
1211,Male,15,Some College,6.8,5.6,5.1,55,60,80,2.6,7.2,Yes,No
1212,Male,15,Some College,6.0,7.1,5.8,94,77,99,3.6,2.7,Yes,No
1213,Male,17,Bachelor's,12.9,6.1,6.7,85,79,100,3.5,1.3,Yes,No
1214,Female,17,Graduate,7.6,10.1,2.1,88,87,77,3.4,3.5,No,No
1215,Male,16,High School,11.8,7.2,8.4,85,81,100,3.5,3.4,Yes,No
1216,Female,15,Graduate,13.2,8.2,4.6,100,68,100,3.6,3.0,Yes,No
1217,Female,16,High School,12.6,5.1,5.9,86,87,88,3.5,6.1,Yes,Yes
1218,Female,15,High School,11.5,,1.2,75,86,63,3.0,9.1,Yes,No
1219,Female,16,Graduate,10.5,9.1,5.0,70,95,67,3.1,10.8,Yes,Yes
1220,Female,15,High School,3.9,6.3,7.2,73,29,70,2.3,1.7,No,No
1221,Female,16,High School,8.5,5.9,6.3,95,66,97,3.4,1.6,Yes,No
1222,Male,16,Some College,,7.0,8.8,76,86,89,3.3,1.1,No,Yes
1223,Male,16,Some College,12.4,6.9,9.1,54,99,73,3.0,8.6,Yes,Yes
1224,Female,18,High School,13.6,8.0,10.5,77,100,87,3.5,3.7,Yes,Yes
1225,Male,17,Bachelor's,9.7,6.0,5.9,100,71,94,3.5,8.6,Yes,No
1226,Female,15,Graduate,9.1,7.4,7.3,74,77,82,3.1,6.7,No,Yes
1227,Male,16,Graduate,20.1,7.5,2.3,97,94,100,3.9,6.7,Yes,Yes
1228,Female,17,Graduate,9.8,6.1,5.8,84,82,80,3.3,5.6,Yes,No
1229,Male,18,Bachelor's,9.3,6.3,9.2,81,93,75,3.3,0.7,Yes,Yes
1230,Female,17,High School,13.0,6.6,2.3,68,78,85,3.1,2.5,Yes,Yes
1231,Male,16,Some College,13.7,6.9,1.8,100,100,90,3.9,3.2,Yes,Yes
1232,Male,17,Some College,10.4,5.6,3.6,78,93,76,3.3,2.8,No,Yes
1233,Female,16,Graduate,12.2,8.4,1.5,79,85,76,3.2,4.6,Yes,Yes
1234,Male,16,Some College,12.5,,9.3,100,80,89,3.6,1.3,No,Yes
1235,Female,17,Some College,15.1,7.4,8.5,51,77,79,2.8,2.4,No,Yes
1236,Female,15,High School,12.8,8.8,9.1,56,80,84,2.9,1.5,Yes,No
1237,Female,17,Some College,10.4,5.8,5.8,67,100,92,3.5,2.0,Yes,Yes
1238,Female,17,High School,,7.0,4.6,99,67,75,3.2,4.0,Yes,Yes
1239,Male,17,High School,8.2,8.5,3.4,79,69,48,2.6,1.7,Yes,Yes
1240,Male,15,Graduate,,6.7,6.8,100,86,98,3.8,0.9,Yes,No
1241,Male,18,Some College,6.4,6.6,3.9,100,55,76,3.1,8.6,Yes,Yes
1242,Female,16,Some College,5.1,6.1,4.1,52,100,82,3.1,5.9,Yes,Yes
1243,Female,16,Graduate,5.8,6.7,5.8,86,58,79,3.0,6.8,Yes,No
1244,Female,17,Some College,9.1,6.6,6.9,100,94,94,3.8,1.1,Yes,Yes
1245,Female,16,Bachelor's,15.3,,4.3,100,100,100,4.0,3.1,Yes,Yes
1246,Female,16,Some College,12.1,6.6,9.8,83,100,65,3.3,1.1,Yes,Yes
1247,Male,17,Some College,2.7,5.3,6.3,58,58,90,2.7,4.8,No,No
